comune,provincia,regione,nome,idCandidato,anno,voti
VILLAMARZANA,ROVIGO,VENETO,LISTA CIVICA - PROGRESSO E INNOVAZIONE,GABRIELLI CLAUDIO VITTORINO,2016,340
VILLAMARZANA,ROVIGO,VENETO,LISTA CIVICA - ESPERIENZA E FUTURO,PREVIATO FAUSTO,2016,258
VILLAMARZANA,ROVIGO,VENETO,LISTA CIVICA - UNITI PER VILLAMARZANA,RAIMONDI ELEONORA,2016,174
STIENTA,ROVIGO,VENETO,LISTA CIVICA - STIENTA TUA,FERRARESE ENRICO,2016,1345
STIENTA,ROVIGO,VENETO,LISTA CIVICA - GENTE COMUNE,GUIDETTI BEATRICE,2016,481
VIGO DI CADORE,BELLUNO,VENETO,LISTA CIVICA - VERSO IL FUTURO,DA RIN BETTINA MAURO,2016,473
VIGO DI CADORE,BELLUNO,VENETO,LISTA CIVICA - PROGETTO COMUNE,DA RIN SALAGONA FIORENZO,2016,293
VIGO DI CADORE,BELLUNO,VENETO,LISTA CIVICA - PROGRESSO NELLA TRASPARENZA,DA RIN BETTINA RUGGERO,2016,80
VAL DI ZOLDO,BELLUNO,VENETO,LISTA CIVICA - PROGETTO COMUNE,DE PELLEGRIN CAMILLO,2016,844
VAL DI ZOLDO,BELLUNO,VENETO,LISTA CIVICA - LA MIA VAL,MOLIN PRADEL ROBERTO,2016,746
VIMERCATE,MONZA E DELLA BRIANZA,LOMBARDIA,PARTITO DEMOCRATICO,MASCIA MARIASOLE,2016,3294
VIMERCATE,MONZA E DELLA BRIANZA,LOMBARDIA,LISTA CIVICA - MARIASOLE MASCIA SINDACO,MASCIA MARIASOLE,2016,1169
VIMERCATE,MONZA E DELLA BRIANZA,LOMBARDIA,SINISTRA - SINISTRA PER VIMERCATE,MASCIA MARIASOLE,2016,535
VIMERCATE,MONZA E DELLA BRIANZA,LOMBARDIA,LISTA CIVICA - COMUNITÀ SOLIDALE,MASCIA MARIASOLE,2016,354
VIMERCATE,MONZA E DELLA BRIANZA,LOMBARDIA,MOVIMENTO 5 STELLE.IT,SARTINI FRANCESCO,2016,2329
VIMERCATE,MONZA E DELLA BRIANZA,LOMBARDIA,LEGA NORD,BIELLA CRISTINA,2016,1277
VIMERCATE,MONZA E DELLA BRIANZA,LOMBARDIA,FORZA ITALIA,BIELLA CRISTINA,2016,671
VIMERCATE,MONZA E DELLA BRIANZA,LOMBARDIA,LISTA CIVICA - NOI PER VIMERCATE,CAGLIANI ALESSANDRO,2016,1806
VIMERCATE,MONZA E DELLA BRIANZA,LOMBARDIA,LISTA CIVICA - CIVICA VIMERCATE,RE ROBERTO,2016,319
VERANO BRIANZA,MONZA E DELLA BRIANZA,LOMBARDIA,LISTA CIVICA - VIVIVERANO,CHIOLO MASSIMILIANO,2016,2153
